T_K,rho_mol_m3,P_Pa,Z_PR
304.253200,5529.411765,6.892727817115e6,0.492768408486
304.253200,5647.058824,6.935975567219e6,0.485529814342
304.253200,5764.705882,6.976629481595e6,0.478408805777
304.253200,5882.352941,7.014776306479e6,0.471404157143
304.253200,6000.000000,7.050501921078e6,0.464514681794
304.253200,6117.647059,7.083891382918e6,0.457739231275
304.253200,6235.294118,7.115028972227e6,0.451076694524
304.253200,6352.941176,7.143998235410e6,0.444525997120
304.253200,6470.588235,7.170882027666e6,0.438086100557
304.253200,6588.235294,7.195762554784e6,0.431756001537
304.253200,6705.882353,7.218721414174e6,0.425534731311
304.253200,6823.529412,7.239839635167e6,0.419421355027
304.253200,6941.176471,7.259197718636e6,0.413414971118
304.253200,7058.823529,7.276875675963e6,0.407514710708
304.253200,7176.470588,7.292953067414e6,0.401719737049
304.253200,7294.117647,7.307509039943e6,0.396029244978
304.253200,7411.764706,7.320622364460e6,0.390442460395
304.253200,7529.411765,7.332371472624e6,0.384958639771
304.253200,7647.058824,7.342834493164e6,0.379577069675
304.253200,7764.705882,7.352089287784e6,0.374297066317
304.253200,7882.352941,7.360213486686e6,0.369117975122
304.253200,8000.000000,7.367284523728e6,0.364039170317
304.253200,8117.647059,7.373379671266e6,0.359060054542
304.253200,8235.294118,7.378576074707e6,0.354180058478
304.253200,8352.941176,7.382950786797e6,0.349398640492
304.253200,8470.588235,7.386580801685e6,0.344715286312
304.253200,8588.235294,7.389543088783e6,0.340129508704
304.253200,8705.882353,7.391914626470e6,0.335640847178
304.253200,8823.529412,7.393772435639e6,0.331248867709
304.253200,8941.176471,7.395193613147e6,0.326953162473
304.253200,9058.823529,7.396255365176e6,0.322753349603
304.253200,9176.470588,7.397035040546e6,0.318649072960
304.253200,9294.117647,7.397610164000e6,0.314640001918
304.253200,9411.764706,7.398058469490e6,0.310725831172
304.253200,9529.411765,7.398457933497e6,0.306906280551
304.253200,9647.058824,7.398886808408e6,0.303181094860
304.253200,9764.705882,7.399423655980e6,0.299550043725
304.253200,9882.352941,7.400147380918e6,0.296012921461
304.253200,10000.000000,7.401137264593e6,0.292569546951
304.253200,10117.647059,7.402472998929e6,0.289219763543
304.253200,10235.294118,7.404234720496e6,0.285963438962
304.253200,10352.941176,7.406503044811e6,0.282800465231
304.253200,10470.588235,7.409359100911e6,0.279730758613
304.253200,10588.235294,7.412884566196e6,0.276754259568
304.253200,10705.882353,7.417161701588e6,0.273870932716
304.253200,10823.529412,7.422273387025e6,0.271080766825
304.253200,10941.176471,7.428303157332e6,0.268383774807
304.253200,11058.823529,7.435335238481e6,0.265779993729
304.253200,11176.470588,7.443454584284e6,0.263269484842
304.253200,11294.117647,7.452746913551e6,0.260852333620
304.253200,11411.764706,7.463298747726e6,0.258528649813
304.253200,11529.411765,7.475197449056e6,0.256298567524
304.253200,11647.058824,7.488531259309e6,0.254162245285
304.253200,11764.705882,7.503389339079e6,0.252119866163
304.253200,11882.352941,7.519861807716e6,0.250171637868
304.253200,12000.000000,7.538039783904e6,0.248317792887
304.253200,12117.647059,7.558015426935e6,0.246558588623
304.253200,12235.294118,7.579881978705e6,0.244894307559
304.253200,12352.941176,7.603733806477e6,0.243325257426
304.253200,12470.588235,7.629666446441e6,0.241851771399
304.253200,12588.235294,7.657776648113e6,0.240474208298
304.253200,12705.882353,7.688162419618e6,0.239192952811
304.253200,12823.529412,7.720923073886e6,0.238008415732
304.253200,12941.176471,7.756159275816e6,0.236921034214
304.253200,13058.823529,7.793973090445e6,0.235931272041
304.253200,13176.470588,7.834468032163e6,0.235039619914
304.253200,13294.117647,7.877749115030e6,0.234246595759
304.253200,13411.764706,7.923922904236e6,0.233552745045
304.253200,13529.411765,7.973097568750e6,0.232958641129
304.253200,13647.058824,8.025382935220e6,0.232464885614
304.253200,13764.705882,8.080890543161e6,0.232072108726
304.253200,13882.352941,8.139733701505e6,0.231780969712
304.253200,14000.000000,8.202027546545e6,0.231592157257
304.253200,14117.647059,8.267889101356e6,0.231506389922
304.253200,14235.294118,8.337437336733e6,0.231524416598
304.253200,14352.941176,8.410793233720e6,0.231647016990
304.253200,14470.588235,8.488079847794e6,0.231875002114
304.253200,14588.235294,8.569422374760e6,0.232209214824
304.253200,14705.882353,8.654948218447e6,0.232650530353
304.253200,14823.529412,8.744787060259e6,0.233199856887
304.253200,14941.176471,8.839070930660e6,0.233858136157
304.253200,15058.823529,8.937934282678e6,0.234626344060
304.253200,15176.470588,9.041514067508e6,0.235505491301
304.253200,15294.117647,9.149949812288e6,0.236496624066
304.253200,15411.764706,9.263383700145e6,0.237600824723
304.253200,15529.411765,9.381960652608e6,0.238819212547
304.253200,15647.058824,9.505828414465e6,0.240152944475
304.253200,15764.705882,9.635137641177e6,0.241603215896
304.253200,15882.352941,9.770041988955e6,0.243171261467
304.253200,16000.000000,9.910698207593e6,0.244858355961
304.378200,2000.000000,3.911358717283e6,0.772769410479
304.378200,2117.647059,4.079466048600e6,0.761205669355
304.378200,2235.294118,4.241695426093e6,0.749820096629
304.378200,2352.941176,4.398188146524e6,0.738609695711
